state,tmc,avg_speedlimit
nj,103N04333,45
nj,103N04373,55
nj,103N04374,44.191
nj,103N04375,46.768
nj,103N04376,50
nj,103N04377,50
nj,103N04378,50
nj,103N04379,54.728
nj,103N04403,65
nj,103N04404,60.49
nj,103N04405,55
nj,103N04406,50.84
nj,103N04438,48.129
nj,103N04439,50
nj,103N04440,50
nj,103N04441,50
nj,103N04442,50
nj,103N04443,46.803
nj,103N04444,55
nj,103N04445,54.712
nj,103N04446,50
nj,103N04447,50
nj,103N04448,50
nj,103N04449,50
nj,103N04505,55
nj,103N04506,55
nj,103N04507,55
nj,103N04508,55
nj,103N04509,55
nj,103N04540,46.024
nj,103N04541,65
nj,103N04542,65
nj,103N04543,65
nj,103N04544,65
nj,103N04545,65
nj,103N04546,65
nj,103N04547,65
nj,103N04548,65
nj,103N04549,52.386
nj,103N04550,62.026
nj,103N04551,65
nj,103N04552,65
nj,103N04553,65
nj,103N04554,65
nj,103N04555,64.214
nj,103N04556,58.671
nj,103N04591,55
nj,103N04592,50.517
nj,103N04593,55
nj,103N04594,55
nj,103N04595,63.651
nj,103N04596,65
nj,103N04617,65
nj,103N04618,65
nj,103N04619,65
nj,103N04620,65
nj,103N04621,65
nj,103N04622,65
nj,103N04623,58.86
nj,103N04624,55
nj,103N04872,45
nj,103N04873,39.268
nj,103N04874,50
nj,103N04875,50
nj,103N04876,50
nj,103N04877,50
nj,103N04878,50
nj,103N04879,50
nj,103N04880,50
nj,103N04881,50
nj,103N04882,45
nj,103N04883,45
nj,103N04884,45
nj,103N04885,45
nj,103N04886,45
nj,103N04887,45
nj,103N04888,45
nj,103N04889,45
nj,103N04890,50
nj,103N04891,50
nj,103N04892,50
nj,103N04893,50
nj,103N04894,50
nj,103N04895,50
nj,103N04896,50
nj,103N04897,50
nj,103N04898,49.419
nj,103N04899,45
nj,103N04900,45
nj,103N04901,45
nj,103N04904,42.034
nj,103N04905,45
nj,103N04910,45
nj,103N04911,45
nj,103N04912,45
nj,103N04913,42.401
nj,103N04915,51.282
nj,103N04916,45.832
nj,103N04923,55
nj,103N04924,55
nj,103N04925,55
nj,103N04926,55
nj,103N04927,55
nj,103N04928,55
nj,103N04936,45
nj,103N04937,65
nj,103N04938,65
nj,103N04939,65
nj,103N04940,65
nj,103N04941,65
nj,103N05008,58.212
nj,103N05009,65
nj,103N05010,65
nj,103N05011,65
nj,103N05012,65
nj,103N05013,65
nj,103N05014,65
nj,103N05183,50
nj,103N05184,54.068
nj,103N05185,65
nj,103N05186,65
nj,103N05187,65
nj,103N05188,65
nj,103N05189,65
nj,103N05190,65
nj,103N05191,65
nj,103N05212,65
nj,103N05213,65
nj,103N05214,65
nj,103N05215,60.859
nj,103N05216,63.142
nj,103N05223,65
nj,103N05224,65
nj,103N05225,64.749
nj,103N05309,45
nj,103N05310,45
nj,103N05311,45.938
nj,103N05322,50
nj,103N05323,50
nj,103N05324,50
nj,103N05325,50
nj,103N05326,49.368
nj,103N05327,45
nj,103N05328,50
nj,103N05329,50
nj,103N05330,50
nj,103N05331,50
nj,103N05332,50
nj,103N05333,50
nj,103N05334,50
nj,103N05335,50
nj,103N05336,50
nj,103N05346,49.95
nj,103N05347,50
nj,103N05440,25
nj,103N05441,40.751
nj,103N05442,47.022
nj,103N05443,50
nj,103N05444,39.449
nj,103N05445,42.063
nj,103N05448,50
nj,103N05449,30
nj,103N05450,30.944
nj,103N05451,38.253
nj,103N05452,45.322
nj,103N05453,25.162
nj,103N05454,28.442
nj,103N05455,35.769
nj,103N05456,45
nj,103N05489,45
nj,103N05490,45
nj,103N05491,45
nj,103N05492,45.326
nj,103N05493,50
nj,103N05494,50
nj,103N05495,50
nj,103N05496,47.335
nj,103N05497,45
nj,103N05498,40.09
nj,103N05499,48.491
nj,103N05500,54.838
nj,103N05501,50
nj,103N05502,55
nj,103N05503,55
nj,103N05504,55
nj,103N05540,45
nj,103N05541,45
nj,103N05542,45
nj,103N05543,45
nj,103N05544,42.414
nj,103N05545,30.944
nj,103N05546,38.518
nj,103N05547,50
nj,103N05548,45.874
nj,103N05549,44.124
nj,103N05550,45
nj,103N05551,41.947
nj,103N05552,30
nj,103N05553,51.266
nj,103N05554,55
nj,103N05555,55
nj,103N05556,55
nj,103N05557,55
nj,103N05558,54.317
nj,103N05559,50.26
nj,103N05560,45
nj,103N05561,45
nj,103N05562,40
nj,103N05563,44.12
nj,103N05564,50
nj,103N05565,40.704
nj,103N05566,35
nj,103N05567,35
nj,103N05568,25
nj,103N05569,45
nj,103N05570,45
nj,103N05571,45
nj,103N05572,32.498
nj,103N05573,32.759
nj,103N05574,39.833
nj,103N05575,35
nj,103N05577,35.899
nj,103N05578,42.633
nj,103N05588,51.518
nj,103N05589,55
nj,103N05590,50
nj,103N05591,49.036
nj,103N05592,48.635
nj,103N05593,39.449
nj,103N05594,47.237
nj,103N05595,50
nj,103N05596,47.981
nj,103N05597,48.273
nj,103N05598,50
nj,103N05599,50
nj,103N05600,50
nj,103N05601,46.854
nj,103N05602,40
nj,103N05603,49.153
nj,103N05604,50
nj,103N05605,50
nj,103N05606,50
nj,103N05607,41.93
nj,103N05608,49.749
nj,103N05609,45
nj,103N05610,49.289
nj,103N05611,33.925
nj,103N05612,48.165
nj,103N05624,45
nj,103N05625,41.603
nj,103N05626,40
nj,103N05627,
nj,103N05628,
nj,103N05671,25
nj,103N05672,29.555
nj,103N05673,38.484
nj,103N05674,44.29
nj,103N05675,41.501
nj,103N05676,40
nj,103N05677,40
nj,103N05689,50
nj,103N05690,50
nj,103N05691,48.659
nj,103N05692,37.347
nj,103N05693,30
nj,103N05694,36.276
nj,103N05695,50.18
nj,103N05696,45
nj,103N05697,45
nj,103N05698,40.344
nj,103N05699,37.105
nj,103N05700,30
nj,103N05701,30.633
nj,103N05702,48.158
nj,103N05703,36.378
nj,103N05704,40
nj,103N05709,48.883
nj,103N05710,49.2
nj,103N05711,35.916
nj,103N05712,43.446
nj,103N05742,35
nj,103N05743,35.23
nj,103N05744,50
nj,103N05745,50
nj,103N05746,50
nj,103N05747,47.988
nj,103N05748,
nj,103N05749,
nj,103N05758,46.679
nj,103N05759,50
nj,103N05760,50
nj,103N05761,44.852
nj,103N05762,40
nj,103N05763,35.562
nj,103N05764,42.048
nj,103N05765,50
nj,103N05766,48.432
nj,103N05767,50
nj,103N05768,50
nj,103N05769,48.795
nj,103N05770,44.346
nj,103N05771,52.051
nj,103N05772,45
nj,103N05773,35.553
nj,103N05774,40
nj,103N05775,42.659
nj,103N05776,38.822
nj,103N05777,35
nj,103N05778,35.549
nj,103N05779,35
nj,103N05780,35
nj,103N05781,40.905
nj,103N05782,40.349
nj,103N05783,35.183
nj,103N05784,42.424
nj,103N05785,43.564
nj,103N05786,48.019
nj,103N05787,63.943
nj,103N05788,44.392
nj,103N05808,50
nj,103N05809,50
nj,103N05810,50
nj,103N05811,50
nj,103N05812,50
nj,103N05813,50
nj,103N05814,50
nj,103N05815,50
nj,103N05816,50
nj,103N05817,50.096
nj,103N05818,55
nj,103N05819,55
nj,103N05820,55
nj,103N05821,55
nj,103N05822,52.227
nj,103N05823,40
nj,103N05824,43.641
nj,103N05825,50
nj,103N05826,50
nj,103N05827,25
nj,103N05828,45
nj,103N05829,45
nj,103N05830,45
nj,103N05831,45
nj,103N05846,30
nj,103N05851,48.257
nj,103N05903,55
nj,103N05904,55
nj,103N05905,55
nj,103N05906,55
nj,103N05907,55
nj,103N05908,50
nj,103N05909,50
nj,103N05910,50
nj,103N05915,65
nj,103N05916,48.904
nj,103N05917,35
nj,103N05918,43.624
nj,103N05919,36.632
nj,103N05920,44.145
nj,103N05921,40
nj,103N05922,38.775
nj,103N05923,40
nj,103N05924,40
nj,103N05925,48.841
nj,103N05926,55
nj,103N05927,50.459
nj,103N05928,50
nj,103N05929,50
nj,103N05930,50
nj,103N05931,50
nj,103N05932,50
nj,103N05933,50
nj,103N05934,47.2
nj,103N05935,40
nj,103N05936,42.736
nj,103N05937,48.305
nj,103N05938,50
nj,103N05939,50
nj,103N05940,53.26
nj,103N05941,45.928
nj,103N05942,40
nj,103N05943,40
nj,103N05944,53.04
nj,103N05945,55
nj,103N05946,55
nj,103N05947,55
nj,103N05948,55
nj,103N05949,55
nj,103N05950,55
nj,103N05951,55
nj,103N05952,55
nj,103N05953,48.61
nj,103N06000,40
nj,103N06001,40
nj,103N06002,30
nj,103N06003,30
nj,103N06004,32.021
nj,103N06005,35
nj,103N06006,35.071
nj,103N06007,40
nj,103N06008,40
nj,103N06009,40
nj,103N06010,40
nj,103N06011,40
nj,103N06012,44.405
nj,103N06013,45
nj,103N06014,41.19
nj,103N06015,50
nj,103N06016,50
nj,103N06017,47.969
nj,103N06018,40
nj,103N06019,49.84
nj,103N06020,50
nj,103N06021,52.844
nj,103N06022,47.822
nj,103N06023,50
nj,103N06024,50
nj,103N06025,49.281
nj,103N06026,45
nj,103N06027,44.352
nj,103N06028,40
nj,103N06029,46.712
nj,103N06030,48.624
nj,103N06031,33.46
nj,103N06032,25
nj,103N06033,25
nj,103N06034,40
nj,103N06035,50.064
nj,103N06965,40
nj,103N06966,42.597
nj,103N06967,50
nj,103N06969,55
nj,103N06970,47.325
nj,103N06971,32.456
nj,103N06972,43.377
nj,103N06973,52.974
nj,103N06975,55
nj,103N06978,50
nj,103N06979,50
nj,103N06980,50
nj,103N06981,55
nj,103N06982,39.156
nj,103N06983,35
nj,103N06984,29.17
nj,103N06988,48.24
nj,103N06990,50
nj,103N06991,50
nj,103N06992,49.066
nj,103N06993,48.97
nj,103N06994,35.916
nj,103N06998,53.986
nj,103N06999,54.971
nj,103N07014,50
nj,103N07019,40.393
nj,103N07020,35
nj,103N07021,50
nj,103N07022,50
nj,103N07035,45
nj,103N07036,
nj,103N07037,50
nj,103N07038,50
nj,103N07039,55
nj,103N07040,55
nj,103N07041,55
nj,103N07042,55
nj,103N07043,55
nj,103N07045,47.192
nj,103N07046,47.238
nj,103N07053,55
nj,103N07062,35
nj,103N07065,55
nj,103N07799,25
nj,103N07800,44.097
nj,103N07801,45
nj,103N07802,49.237
nj,103N07803,47.397
nj,103N07804,45.853
nj,103N07805,50
nj,103N07806,50
nj,103N07807,48.317
nj,103N07808,46.367
nj,103N07809,28.369
nj,103N07810,46.423
nj,103N07811,35.222
nj,103N07812,65
nj,103N07817,25
nj,103N07818,25
nj,103N07819,25
nj,103N07820,25
nj,103N07821,25
nj,103N07822,25
nj,103N08204,41.883
nj,103N09461,31.795
nj,103N09462,50
nj,103N09463,50.136
nj,103N09464,47.65
nj,103N09465,45
nj,103N09466,47.925
nj,103N09469,50
nj,103N09470,48.4
nj,103N09471,40
nj,103N09472,49.546
nj,103N09475,55
nj,103N09476,55
nj,103N09477,55
nj,103N09478,52.109
nj,103N09479,40.916
nj,103N09480,34.444
nj,103N09481,48.055
nj,103N09534,30
nj,103N09535,45.983
nj,103N09579,
nj,103N09580,47.97
nj,103N09581,40
nj,103N09586,49.057
nj,103N09587,48.849
nj,103N09588,45.145
nj,103N09589,45.965
nj,103N09590,50
nj,103N09591,50
nj,103N09592,48.288
nj,103N09593,50
nj,103N09594,50
nj,103N09595,47.171
nj,103N09596,48.435
nj,103N09597,43.93
nj,103N09598,30
nj,103N09599,42.023
nj,103N09600,45
nj,103N09601,44.121
nj,103N09602,45.577
nj,103N09603,50
nj,103N09604,50
nj,103N09605,48.207
nj,103N09606,40
nj,103N09607,48.883
nj,103N09608,45.249
nj,103N09609,46.767
nj,103N09610,40.734
nj,103N09611,44.967
nj,103N09612,45.684
nj,103N09613,35
nj,103N09614,35
nj,103N09615,42.729
nj,103N09616,48.823
nj,103N09617,50
nj,103N09620,44.905
nj,103N09621,41.402
nj,103N09622,35.528
nj,103N09623,35
nj,103N09624,50
nj,103N09625,50
nj,103N09626,50
nj,103N09627,45
nj,103N09628,50
nj,103N09629,50
nj,103N09630,50
nj,103N09631,49.159
nj,103N09632,49.392
nj,103N09644,50
nj,103N09645,51.073
nj,103N09646,47.453
nj,103N09647,47.472
nj,103N09648,49.448
nj,103N09649,50
nj,103N09650,37.948
nj,103N09651,25
nj,103N09653,45.785
nj,103N09654,50
nj,103N09655,50
nj,103N09656,45
nj,103N09657,50
nj,103N09658,50
nj,103N09666,49.827
nj,103N09667,45.066
nj,103N09669,35
nj,103N09670,49.821
nj,103N09674,55
nj,103N09675,55
nj,103N09676,55
nj,103N09677,55
nj,103N09678,45.419
nj,103N09679,41.179
nj,103N09680,43.509
nj,103N09686,30
nj,103N09703,49.829
nj,103N09704,49.728
nj,103N09705,49.788
nj,103N09706,50
nj,103N09707,50
nj,103N09710,
nj,103N09711,55
nj,103N09712,55
nj,103N09713,55
nj,103N09716,45
nj,103N09717,45
nj,103N09718,42.64
nj,103N09719,30
nj,103N09724,65
nj,103N09725,65
nj,103N09726,45
nj,103N09727,45
nj,103N09728,50
nj,103N09729,50
nj,103N09730,48.804
nj,103N09731,38.117
nj,103N09732,40.472
nj,103N09733,45
nj,103N09734,45
nj,103N09735,40
nj,103N09736,36.52
nj,103N09737,40
nj,103N09738,40
nj,103N09739,42.299
nj,103N09740,45
nj,103N09741,43.481
nj,103N09742,35
nj,103N09743,55
nj,103N09744,55
nj,103N09745,55
nj,103N09746,45
nj,103N09747,45
nj,103N09751,25
nj,103N09752,25
nj,103N09753,25
nj,103N09754,25
nj,103N09755,25
nj,103N09756,25
nj,103N09757,25
nj,103N09758,25
nj,103N09759,25
nj,103N09765,65
nj,103N09767,60.355
nj,103N09768,35
nj,103N09769,65
nj,103N09770,65
nj,103N09771,56.934
nj,103N09772,55
nj,103N09773,25
nj,103N09774,25
nj,103N09775,21.319
nj,103N09776,26.153
nj,103N09778,25
nj,103N09780,25
nj,103N09781,25
nj,103N09922,45
nj,103N09923,45
nj,103N09924,42.331
nj,103N09925,65
nj,103N09926,51.234
nj,103N09989,45
nj,103N09990,45
nj,103N09991,44.558
nj,103N09992,45
nj,103N09993,45
nj,103N09994,25
nj,103N09995,25
nj,103N09996,25
nj,103N09997,25
nj,103N09998,25
nj,103N09999,30
nj,103N10000,40
nj,103N10001,40
nj,103N10002,40
nj,103N10003,40
nj,103N10004,44.69
nj,103N10005,45
nj,103N10008,36.139
nj,103N10012,39.541
nj,103N10013,35
nj,103N10014,32.094
nj,103N10015,45.786
nj,103N10016,40
nj,103N10017,40
nj,103N10018,38.866
nj,103N10019,65
nj,103N10020,65
nj,103N10021,50
nj,103N10022,50
nj,103N10023,65
nj,103N10024,50
nj,103N10025,45
nj,103N10026,40.822
nj,103N10027,36.364
nj,103N10028,53.962
nj,103N10029,55
nj,103N10030,50
nj,103N10031,45.638
nj,103N10032,36.361
nj,103N10033,36.122
nj,103N10034,39.472
nj,103N10038,25
nj,103N10045,20.201
nj,103N10046,25
nj,103N10048,45
nj,103N10049,40
nj,103N10050,25
nj,103N10051,25
nj,103N10052,25
nj,103N10053,25
nj,103N10054,38.36
nj,103N10055,40
nj,103N10056,39.464
nj,103N10057,44.042
nj,103N10058,35
nj,103N10059,30
nj,103N10060,28.017
nj,103N10061,35
nj,103N10062,39.551
nj,103N10068,43.732
nj,103N10217,40
nj,103N10218,35
nj,103N10219,40.714
nj,103N10234,50
nj,103N10235,50
nj,103N10236,49.629
nj,103N10239,47.75
nj,103N10240,48.615
nj,103N10241,37.63
nj,103N10242,65
nj,103N10243,65
nj,103N10244,25
nj,103N10245,25
nj,103N10246,43.643
nj,103N10247,40.335
nj,103N10248,34.718
nj,103N10258,50
nj,103N10259,40.788
nj,103N10260,39.299
nj,103N10261,40
nj,103N10262,45
nj,103N10263,45
nj,103N10266,65
nj,103N10278,55
nj,103N10285,35
nj,103N10286,47.532
nj,103N10287,50
nj,103N10288,48.054
nj,103N10289,48.395
nj,103N10291,50
nj,103N10292,50
nj,103N10293,35
nj,103N10294,40
nj,103N10295,65
nj,103N10296,65
nj,103N10299,61.386
nj,103N10301,35
nj,103N10302,35
nj,103N10303,40
nj,103N10304,40
nj,103N10305,40
nj,103N10306,45
nj,103N10307,48.816
nj,103N10308,50
nj,103N10309,50
nj,103N10310,50
nj,103N10311,55
nj,103N10899,40
nj,103N10900,35
nj,103N10901,48.764
nj,103N10902,37.277
nj,103N10903,46.58
nj,103N10904,50
nj,103N10905,52.251
nj,103N11258,25
nj,103N11259,25
nj,103N11260,26.525
nj,103N11261,43.107
nj,103N11263,50
nj,103N11264,45
nj,103N11265,45
nj,103N11266,41.605
nj,103N11267,33.391
nj,103N11268,
nj,103N11269,50
nj,103N11272,35
nj,103N11273,35
nj,103N11274,40
nj,103N11275,
nj,103N11276,40
nj,103N11277,43.528
nj,103N11278,40
nj,103N11279,40.166
nj,103N11280,35
nj,103N11281,35
nj,103N11282,38.265
nj,103N11283,40
nj,103N11284,42.581
nj,103N11285,45
nj,103N11286,35
nj,103N11287,43.649
nj,103N11288,45
nj,103N11289,44.655
nj,103N11290,34.166
nj,103N11291,35.29
nj,103N11292,40
nj,103N11302,48.487
nj,103N11303,49.345
nj,103N11304,49.89
nj,103N11306,25
nj,103N11307,35
nj,103N11308,35.326
nj,103N11309,43.994
nj,103N11310,38.132
nj,103N11311,40
nj,103N11314,25
nj,103N11315,25
nj,103N11316,33.856
nj,103N11317,35.468
nj,103N11318,
nj,103N11319,45
nj,103N11320,35
nj,103N11321,45.753
nj,103N11327,
nj,103N11328,
nj,103N11344,45.312
nj,103N11362,45
nj,103N11363,35.377
nj,103N11364,28.805
nj,103N11365,37.221
nj,103N11366,50
nj,103N11367,50
nj,103N11368,50
nj,103N11372,47.658
nj,103N11373,32.418
nj,103N11374,45
nj,103N11375,50
nj,103N11376,50
nj,103N11377,50
nj,103N11386,25
nj,103N11387,33.164
nj,103N11388,37.854
nj,103N11389,35
nj,103N11390,35
nj,103N11391,39.167
nj,103N11392,40
nj,103N11393,40
nj,103N11394,40
nj,103N11395,40
nj,103N11396,45
nj,103N11397,30
nj,103N11398,30
nj,103N11399,44.556
nj,103N11400,47.363
nj,103N11401,38.799
nj,103N11402,38.938
nj,103N11403,40
nj,103N11404,25
nj,103N11408,45
nj,103N11409,42.97
nj,103N11410,40
nj,103N11411,38.529
nj,103N11412,45
nj,103N11415,50
nj,103N11416,49.123
nj,103N11417,50
nj,103N11418,50
nj,103N11419,50
nj,103N11428,35
nj,103N11429,40.726
nj,103N11430,27.982
nj,103N11431,35
nj,103N11432,31.56
nj,103N11433,35
nj,103N11434,25
nj,103N11435,25
nj,103N11436,25
nj,103N11437,25
nj,103N11438,25
nj,103N11439,40
nj,103N11440,44.389
nj,103N11442,34.98
nj,103N11443,25
nj,103N11444,26.248
nj,103N11445,25
nj,103N11446,25
nj,103N11447,25
nj,103N11448,26.256
nj,103N11449,42.824
nj,103N11450,
nj,103N11453,50
nj,103N11454,35
nj,103N11455,30
nj,103N11456,35
nj,103N11457,
nj,103N11458,42.485
nj,103N11459,45
nj,103N11460,45
nj,103N11465,35
nj,103N11466,35
nj,103N11467,39.299
nj,103N11468,40
nj,103N11469,40
nj,103N11470,41.272
nj,103N11471,40
nj,103N11472,29.644
nj,103N11473,25
nj,103N11474,25
nj,103N11475,25
nj,103N11476,25
nj,103N11477,25
nj,103N11478,25
nj,103N11483,45
nj,103N11484,40.51
nj,103N11485,26.378
nj,103N11486,46.944
nj,103N11487,50
nj,103N11488,30
nj,103N11489,25.119
nj,103N11490,25
nj,103N11492,40
nj,103N11517,35
nj,103N11518,35
nj,103N11519,25
nj,103N11520,
nj,103N11522,35.595
nj,103N11524,35
nj,103N11525,35
nj,103N11526,35
nj,103N11527,27.828
nj,103N11528,25
nj,103N11532,35
nj,103N11533,35
nj,103N11534,35
nj,103N11541,35
nj,103N11542,36.922
nj,103N11564,40
nj,103N11565,40.963
nj,103N11566,26.93
nj,103N11574,25
nj,103N11575,25
nj,103N11576,34.821
nj,103N11577,35
nj,103N11580,35
nj,103N11581,37.392
nj,103N11582,45
nj,103N11583,44.416
nj,103N11585,32.753
nj,103N11586,44.207
nj,103N11587,
nj,103N11590,35
nj,103N11591,35
nj,103N11592,40
nj,103N11593,38.496
nj,103N11608,35.918
nj,103N11609,
nj,103N11610,
nj,103N11611,
nj,103N11636,40
nj,103N11661,40
nj,103N11662,40
nj,103N11663,
nj,103N11667,50
nj,103N11672,25
nj,103N11673,25
nj,103N11674,25
nj,103N11675,25
nj,103N11676,25
nj,103N11690,
nj,103N11691,45
nj,103N11692,45
nj,103N11693,36.453
nj,103N11698,25
nj,103N11699,25.478
nj,103N11700,38.12
nj,103N11701,40
nj,103N11702,43.161
nj,103N11703,30
nj,103N11709,45
nj,103N11710,25
nj,103N11711,25
nj,103N11718,46.276
nj,103N11719,45
nj,103N11720,40.173
nj,103N11723,40
nj,103N11724,41.414
nj,103N11735,50
nj,103N11736,50
nj,103N11737,50
nj,103N11738,49.181
nj,103N11751,25
nj,103N11752,25
nj,103N11753,
nj,103N11755,42.827
nj,103N11770,42.453
nj,103N11771,47.584
nj,103N11772,
nj,103N11773,40
nj,103N11774,33.991
nj,103N11775,45
nj,103N11776,45
nj,103N11777,48.048
nj,103N11778,50
nj,103N11780,45
nj,103N11819,35
nj,103N11820,35
nj,103N11821,29.899
nj,103N11826,25
nj,103N11827,40.261
nj,103N11828,45
nj,103N11829,45
nj,103N11830,45
nj,103N11831,45
nj,103N11832,45
nj,103N11833,45
nj,103N11839,45
nj,103N11840,44.484
nj,103N11841,
nj,103N11852,
nj,103N11853,25
nj,103N11870,28.814
nj,103N11884,25
nj,103N11885,25
nj,103N11953,36.211
nj,103N11954,40
nj,103N11955,40
nj,103N11956,40
nj,103N11962,
nj,103N11963,25
nj,103N12127,35
nj,103N12128,35
nj,103N12129,35
nj,103N12135,
nj,103N12136,46.286
nj,103N12137,39.648
nj,103N12138,
nj,103N12139,15
nj,103N12167,45
nj,103N12168,42.603
nj,103N12202,15
nj,103N12281,25
nj,103N12304,40
nj,103N12305,30.879
nj,103N12318,25
nj,103N12319,40.959
nj,103N12333,
nj,103N12334,
nj,103N12335,
nj,103N12351,25
nj,103N12352,25
nj,103N12353,25
nj,103N12354,25
nj,103N12355,25
nj,103N12379,35
nj,103N12380,39.715
nj,103N12381,
nj,103N12382,
nj,103N12439,45
nj,103N12440,42.389
nj,103N12447,35
nj,103N12448,35
nj,103N12483,25
nj,103N12484,27.856
nj,103N12485,
nj,103N12491,35
nj,103N12516,
nj,103N12517,25
nj,103N12518,25
nj,103N12572,
nj,103N12573,45
nj,103N12577,45
nj,103N12602,40
nj,103N12603,36.401
nj,103N12642,
nj,103N12643,25
nj,103N12644,25
nj,103N12741,35
nj,103N12759,25
nj,103N12760,29.025
nj,103N12761,25
nj,103N12762,25
nj,103N12929,45
nj,103N12930,46.926
nj,103N12931,49.621
nj,103N12965,25
nj,103N12966,25
nj,103N12990,25
nj,103N12991,25
nj,103N12992,25
nj,103N12993,25
nj,103N12994,25
nj,103N12995,35.307
nj,103N12996,45
nj,103N13122,
nj,103N13123,25
nj,103N13124,50
nj,103N13156,
nj,103N13157,25
nj,103N13165,25
nj,103N13166,30.593
nj,103N13167,35
nj,103N13168,35
nj,103N13169,35
nj,103N13251,25
nj,103N13252,25
nj,103N13253,25
nj,103N13257,25
nj,103N13258,25
nj,103N13271,40
nj,103N13272,40
nj,103N13300,35
nj,103N13301,35.75
nj,103N13302,25
nj,103N13334,
nj,103N13335,25
nj,103N13336,25
nj,103N13523,25
nj,103N13524,33.596
nj,103N13525,
nj,103N13547,45
nj,103N13585,25
nj,103N13586,25
nj,103N13587,25
nj,103N13588,40
nj,103N13589,39.331
nj,103N13634,40
nj,103N13635,40
nj,103N13654,40
nj,103N13655,42.327
nj,103N13656,45
nj,103N13657,44.308
nj,103N13755,35
nj,103N13756,30.074
nj,103N13870,25
nj,103N13871,25
nj,103N13872,
nj,103N13913,45
nj,103N13914,38.815
nj,103N13915,38.72
nj,103N13927,52.633
nj,103N13928,35
nj,103N13973,25
nj,103N13974,25
nj,103N13975,25
nj,103N13986,35
nj,103N13987,35.865
nj,103N13988,40
nj,103N14005,40
nj,103N14006,39.562
nj,103N14037,35
nj,103N14038,37.251
nj,103N14054,45
nj,103N14417,65
nj,103N14418,65
nj,103N15486,50
nj,103N15490,40
nj,103N15492,45
nj,103N15526,45.208
nj,103N15548,55
nj,103N15561,25
nj,103N15562,25
nj,103N15563,25
nj,103N15564,26.168
nj,103N15565,41.29
nj,103N15566,41.005
nj,103N15569,25
nj,103N15570,25
nj,103N15571,25
nj,103N15572,
nj,103N15573,25
nj,103N15574,25
nj,103N15575,
nj,103N15580,40
nj,103N15581,
nj,103N15582,40
nj,103N15583,36.488
nj,103N15599,25
nj,103N15600,
nj,103N15697,45
nj,103N15698,47.283
nj,103N15699,50
nj,103N15700,45.559
nj,103N16176,35
nj,103N16177,41.537
nj,103N16180,
nj,103N16181,
nj,103N16200,44.895
nj,103N16201,40.206
nj,103N16231,
nj,103N16232,
nj,103N16247,25
nj,103N16248,31.703
nj,103N16266,
nj,103N16287,
nj,103N16288,
nj,103N16289,
nj,103N16290,
nj,103N16291,
nj,103N16292,25
nj,103N16293,25
nj,103N16295,25
nj,103N16296,25
nj,103N16308,45
nj,103N16309,45
nj,103N16310,44.599
nj,103N16311,40
nj,103N16312,40
nj,103N16313,36.217
nj,103N16314,35
nj,103N16315,35
nj,103N16316,35
nj,103N16322,
